1, Desma, Thomas
2, Dea, Aineas
3, Hippolyte, Zosimo
4, Calla, Krischnan
5, Terry, Pippo
6, Amaranth, Jaycen
7, Eurayle, Abderus
8, Theophilia, Parthenios
9, Jacintha, Eurystheus
10, Zephyra, Seorsa,
11, Theodosia, Iapetus,
12, Thina, Stephano,
13, Kynthia, Narkis,
14, Myrtis, Loxias,
15, Nyla, Celeus,
16, Syna, Hephaestus,
17, Althea, Kosmas,
18, Trine, Nemos,
19, Sofi, Kaj,
20, Astraea, Tyndareus,
21, Adara, Tymoteusz,
22, Rue, Polymestor,
23, Meleta, Peder,
24, Dorianna, Carolos,
25, Lissandra, Deucalion,
26, Chryseis, Nikkos,
27, Gredel, Demetri,
28, Penine, Dard,
29, Strephon, Andreus,
30, Fate, Oedipus,
31, Alcippe, Kozma,
32, Gretal, Ascalaphus,
33, Tiana, Anastagio,
34, Tia, Carolos,
35, Baibin, Polycarp,
36, Melanthe, Asopus,
37, Panphila, Sarpedon,
38, Sebastiana, Poseidon,
39, Cindy, Peter,
40, Anastacia, Oeneus,
41, Iris, Osias,
42, Anticlea, Carolos,
43, Althaea, Xanthus,
44, Osanna, Christophoros,
45, Katharine, Melancton,
46, Hydra, Iorgas,
47, Selena, Halithersis,
48, Uriana, Ascalaphus,
49, Roseanne, Theophilus,
50, Astraea, Aristotle,
51, Jacynth, Arri,
52, Natassia, Prophyrios,
53, Myrtisa, Andreus,
54, Tressam, Demetre,
55, Melena, Pietr,
56, Eugena, Aeacus,
57, Cynara, Nick,
58, Atalanta, Coridan,
59, Hester, Peterke,
60, Jocasta, Kyrillos,
61, Melantho, Cyrille,
62, Katarin, Arkhippos,
63, Phoena, Dolius,
64, Delbin, Idas,
65, Chryssa, Klaasr,
66, Meleda, Cetus,
67, Alannis, Eurus,
68, Dido, Alexandras,
69, Theophila, Aeolus,
70, Varvara, Galinthias,
71, Malvine, Nicholaus,
72, Doralie, Christoph,
73, Reta, Drakon,
74, Airla, Cadmus,
75, Ambrotosa, Homeros,
76, Sapphire, Zetes,
77, Delbin, Eurus,
78, Ismene, Orrin,
79, Zebina, Alexander,
80, Irynia, Dorion,
81, Phylis, Nemos,
82, Amethyst, Damasko,
83, Thenomia, Petter,
84, Madeline, Aiakos,
85, Calysta, Chiron,
86, Hesperia, Niklaus,
87, Saba, Theodosios,
88, Alvis, Thomas,
89, Ianthina, Damyon,
90, Hestia, Xeno,
91, Andrena, Keril,
92, Katarin, Trophonius,
93, Nichole, Leksi,
94, Xylona, Acis,
95, Canisa, Ampyx,
96, Orea, Ascalaphus,
97, Tryna, Absyrtus,
